"キーワード","指定時の原文","種別","投入群","抽出元","月間平均検索ボリューム","競合性","上部掲載単価（低額帯）","上部掲載単価（高額帯）","3か月の推移","前年比の推移","広告インプレッションシェア","対象期間","地域","言語","ネットワーク","取得日","備考"
"2 トントラック 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥108","￥516","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 費用 相場","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥40","￥181","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック の 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥63","￥274","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"中型 トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"車検 軽 トラ 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","1000～1万","低","￥62","￥224","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 車 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック の 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥119","￥300","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"3 トントラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥100","￥895","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"2t ダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 費用 相場","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 値段","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥99","￥239","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"ボンゴ トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"1 トントラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"ダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック 車検 諸 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"1.5 t トラック 車検","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"1.5 t トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"1.5 トントラック 車検","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥177","￥1,321","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"1.5 トントラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥134","￥284","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"1t トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"2t トラック ユーザー 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"2t トラック 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"2t 車 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"3 t ダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"3 ヶ月 点検 トラック 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","+∞","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"3t トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4 トン 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4 トンダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥99","￥246","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4 トントラック 車検","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4 トントラック 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4 ナンバー トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4t ダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4t トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"サニトラ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"サニー トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","+∞","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"タウンエース トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"ダットサン トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 3 ヶ月 点検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック の 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック ユーザー 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 三 ヶ月 点検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 法定 点検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 法定 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 基本 料金","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 料金","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 法定 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 相場","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 諸 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 金額","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"バネット トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"ミニキャブ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","中","￥102","￥172","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"ユーザー 車検 軽 トラ","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","-90%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"二 トンダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"二 トントラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 ダンプ 車検 法定 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","—","—","—","-100%","-100%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 トラック の 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 トラック 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 トラック 車検 諸 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 車 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"小型 トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"貨物 自動車 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥94","￥266","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"車検 費用 トラック","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥119","￥300","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"車検 費用 軽 トラ","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","1000～1万","低","￥62","￥224","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"車検 費用 軽 トラック","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥61","￥200","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 法定 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 代 相場","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","中","￥28","￥198","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 価格","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック ユーザー 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック 車検 値段","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック 車検 料金","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","中","￥75","￥246","+∞","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック 車検 法定 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥7","￥75","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック 車検 相場","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"10 トントラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"10t ダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 高速 代 支払い","運送業 高速代 支払い","指定KW","燃料・給与・固定費系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 社会 保険 払え ない","運送会社 社会保険 払えない","指定KW","燃料・給与・固定費系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
