keyword,theme,sub_theme,intent,corporate_transport_score,funding_intent_score,over_3m_score,financial_health_score,cpc_score,total_score,monthly_search_range,estimated_monthly_searches,competition,top_bid_low,top_bid_high,rank,recommended_match_type,initial_max_cpc,reason,risk,source,notes
新規拠点 運送会社 資金不足,受注増・成長資金,先行資金,成長に伴う運転資金,25,25,20,8,未評価,78,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
ETCコーポレートカード 支払い 入金前,燃料・ETC,カード・引落,燃料・通行費の支払資金,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,後払いカード・高速料金の支払期日と入金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 外注費 支払い 入金前,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 協力会社 支払い 間に合わない,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 協力会社 支払い 資金不足,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 協力会社 支払い 入金前,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 協力会社 支払い 払えない,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 間に合わない,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 間に合わない 運送,既存配信監査,既存設定,既存Google広告キーワード,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,既存設定との差分・重複を確認するために記録。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 資金不足,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 入金前,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 払えない,傭車・外注,協力会社・外注,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
法人 カーリース 審査 通らない,車両導入・増車,法人フィルター,車両導入の代替資金,15,25,20,10,7,77,10–100,40,中,293,949,A,完全一致（KWP確認後にフレーズ追加）,50円テスト対象外（低額帯が50円超）,法人・事業用を明示し個人購入を抑える。,,KWP観測 2026-08-12,検索数はKWPレンジ。推定検索数は安全側の換算値（0–10=4、10–100=40、100–1000=300、1000–10000=3000）。
傭車増加 運送会社 資金不足,受注増・成長資金,先行資金,成長に伴う運転資金,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 支払い 間に合わない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 資金不足,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 払えない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 支払い 間に合わない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 資金不足,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 払えない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 支払い 間に合わない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 資金不足,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 払えない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車費 支払い 間に合わない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車費 資金不足,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車費 払えない,傭車・外注,傭車支払,協力会社等への支払原資,25,25,12,15,未評価,77,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
リース 審査 通らない 法人,車両導入・増車,法人フィルター,車両導入の代替資金,15,25,20,10,4,74,10–100,40,低,385,985,A,完全一致（KWP確認後にフレーズ追加）,50円テスト対象外（低額帯が50円超）,法人・事業用を明示し個人購入を抑える。,,KWP観測 2026-08-12,検索数はKWPレンジ。推定検索数は安全側の換算値（0–10=4、10–100=40、100–1000=300、1000–10000=3000）。
新規拠点 運送会社 運転資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,8,未評価,73,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規拠点 運送会社 資金繰り,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,8,未評価,73,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
ETCコーポレートカード 引き落とし 間に合わない,燃料・ETC,カード・引落,燃料・通行費の支払資金,25,25,12,10,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,後払いカード・高速料金の支払期日と入金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
ETCコーポレートカード 残高不足,燃料・ETC,カード・引落,燃料・通行費の支払資金,25,25,12,10,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,後払いカード・高速料金の支払期日と入金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
ETCコーポレートカード 利用停止,燃料・ETC,カード・引落,燃料・通行費の支払資金,25,25,12,10,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,後払いカード・高速料金の支払期日と入金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 協力会社 支払い 運転資金,傭車・外注,協力会社・外注,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 協力会社 支払い 資金繰り,傭車・外注,協力会社・外注,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 協力会社 支払い 立替,傭車・外注,協力会社・外注,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 車両増車 資金,既存配信監査,既存設定,既存Google広告キーワード,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,既存設定との差分・重複を確認するために記録。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 増車 資金,受注増・成長資金,運送特化表現,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,成長局面を明示するため審査健全度が比較的高い。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 運転資金,傭車・外注,協力会社・外注,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 資金繰り,傭車・外注,協力会社・外注,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
協力会社 支払い 立替,傭車・外注,協力会社・外注,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送会社の下請け・外注支払いの資金ギャップ。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
車両増台 運送会社 先行資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
車両増台 運送業 資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
車両増台 傭車代 資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規拠点 傭車代 資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規路線 運送会社 先行資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規路線 運送業 資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規路線 資金 運送会社,受注増・成長資金,運送特化表現,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,成長局面を明示するため審査健全度が比較的高い。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規路線 傭車代 資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
大口受注 運送会社 先行資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
大口受注 運送業 資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
大口受注 傭車代 資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,12,20,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車増加 運送会社 運転資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車増加 運送会社 資金繰り,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 運転資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 支払い,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 支払い 資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 資金繰り,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 先払い,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車代 立替,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 運転資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 支払い,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 支払い 資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 資金繰り,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 先払い,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
傭車費 立替,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 運転資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 支払い,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 支払い 資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 資金繰り,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 先払い,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車代 立替,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車費 運転資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車費 支払い,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
庸車費 支払い 資金,傭車・外注,傭車支払,協力会社等への支払原資,25,20,12,15,未評価,72,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,運送業の協力会社・傭車支払に直結する業界語。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
